Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Revenue,journey_month,journey_day,journey_weekday,journey_quarter,month_name,duration_mins,stops_clean,dep_hour,dep_time_of_day,arrival_hour,arrival_time_of_day,price_band
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,22/03/26 1:10,2h 50m,non-stop,No info,3897,3897,3,24,6,1,Mar,170,0,22,Night,1,Night,Budget
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → BBI → BLR,5:50,13:15,7h 25m,2 stops,No info,7662,7662,5,1,2,2,May,445,2,5,Morning,13,Afternoon,Mid-Range
Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,9:25,10/06/26 4:25,19h,2 stops,No info,13882,13882,6,9,6,2,Jun,1140,2,9,Morning,4,Night,Premium
IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218,6218,5,12,6,2,May,325,1,18,Evening,23,Night,Mid-Range
IndiGo,2019-03-24,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302,13302,3,24,6,1,Mar,285,1,16,Afternoon,21,Night,Premium
SpiceJet,2019-05-01,Kolkata,Banglore,CCU → BLR,9:00,11:25,2h 25m,non-stop,No info,3873,3873,5,1,2,2,May,145,0,9,Morning,11,Morning,Budget
Jet Airways,2019-06-09,Banglore,New Delhi,BLR → BOM → DEL,18:55,13/03/26 10:25,15h 30m,1 stop,In-flight meal not included,11087,11087,6,9,6,2,Jun,930,1,18,Evening,10,Morning,Premium
Jet Airways,2019-05-12,Banglore,New Delhi,BLR → BOM → DEL,8:00,02/03/26 5:05,21h 5m,1 stop,No info,22270,22270,5,12,6,2,May,1265,1,8,Morning,5,Morning,Premium
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → BOM → DEL,8:55,13/03/26 10:25,25h 30m,1 stop,In-flight meal not included,11087,11087,3,24,6,1,Mar,1530,1,8,Morning,10,Morning,Premium
Multiple carriers,2019-05-01,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625,8625,5,1,2,2,May,470,1,11,Morning,19,Evening,Mid-Range
Air India,2019-06-09,Delhi,Cochin,DEL → BLR → COK,9:45,23:00,13h 15m,1 stop,No info,8907,8907,6,9,6,2,Jun,795,1,9,Morning,23,Night,Mid-Range
IndiGo,2019-05-12,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174,4174,5,12,6,2,May,155,0,20,Evening,22,Night,Budget
Air India,2019-03-24,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,4667,3,24,6,1,Mar,135,0,11,Morning,13,Afternoon,Budget
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,21:10,10/05/26 9:20,12h 10m,1 stop,In-flight meal not included,9663,9663,5,1,2,2,May,730,1,21,Night,9,Morning,Mid-Range
IndiGo,2019-06-09,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,4804,6,9,6,2,Jun,155,0,17,Evening,19,Evening,Budget
Air India,2019-05-12,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,04/03/26 19:15,26h 35m,2 stops,No info,14011,14011,5,12,6,2,May,1595,2,16,Afternoon,19,Evening,Premium
SpiceJet,2019-03-24,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,4h 30m,1 stop,No info,5830,5830,3,24,6,1,Mar,270,1,8,Morning,13,Afternoon,Mid-Range
Jet Airways,2019-05-01,Delhi,Cochin,DEL → BOM → COK,14:00,13/06/26 12:35,22h 35m,1 stop,In-flight meal not included,10262,10262,5,1,2,2,May,1355,1,14,Afternoon,12,Afternoon,Premium
Air India,2019-06-09,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,13/06/26 19:15,23h,2 stops,No info,13381,13381,6,9,6,2,Jun,1380,2,20,Evening,19,Evening,Premium
